1 filter(s) applied: Color is exactly Purple,
company_domain,company_id,product_id,product_title,min_current_price,max_current_price,avg_current_price,avg_full_price,avg_discount,sales_volume,sales_volume_upper_bound,sales_volume_lower_bound,sales_revenue,sales_revenue_upper_bound,sales_revenue_lower_bound,rate_sold,sell_through_rate,review_count,avg_rating,key_phrases,colors,matched_variant_count,total_variant_count,product_first_seen,product_url,image_url,
www.aloyoga.com,1004856,9092867588455,Airlift High-Waist 7/8 Line Up Legging - Plum Kiss,144,144,144,144,0,2247,2472,2022,323568,355924.8,291211.2,80.25,0.454766,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w51154r-airlift-high-waist-7-8-line-up-legging-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092867588455_20260302.png,
www.aloyoga.com,1004856,9092872569191,Airlift Line Up Bra - Plum Kiss,98,98,98,98,0,2163,2380,1946,211974,233171.4,190776.6,77.25,0.392274,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w9533r-airlift-line-up-bra-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092872569191_20260227.png,
www.aloyoga.com,1004856,9092870242663,Match Point Short - Plum Kiss,78,78,78,78,0,1975,2185,1765,154050,170367.6,137732.4,70.535714,0.451738,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w6334r-match-point-short-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092870242663_20260302.png,
www.aloyoga.com,1004856,9092872110439,Airbrush Splendor Dress - Plum Kiss,138,138,138,138,0,1084,1209,959,149592,166828.2,132355.8,38.714286,0.536103,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w8346r-airbrush-splendor-dress-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092872110439_20260227.png,
www.aloyoga.com,1004856,9092870668647,Accolade Short - Plum Kiss,78,78,78,78,0,1517,1730,1304,118326,134908.8,101743.2,54.178571,0.41,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w6472rg-accolade-short-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092870668647_20260303.png,
www.aloyoga.com,1004856,9092869161319,Sweater Knit Mid-Rise Unwind Wide Leg Pant - Plum Kiss,188,188,188,188,0,533,616,450,100204,115751.6,84656.4,19.035714,0.506654,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w54319r-sweater-knit-mid-rise-unwind-wide-leg-pant-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092869161319_20260302.png,
www.aloyoga.com,1004856,6789733843124,Women's Pivot Barre Sock - Pale Mauve,38,38,38,38,0,2476,3135,1817,94088,119107.2,69068.8,88.428571,0.040938,0,,,Purple,2,2,2024-10-30,https://www.aloyoga.com/products/a0094-pivot-barre-sock-pale-mauve,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/6789733843124_20260227.png,
www.aloyoga.com,1004856,9092869783911,7/8 High-Waist Airlift Legging - Plum Kiss,134,134,134,134,0,572,647,497,76648,86604.2,66691.8,20.428571,0.081551,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w5766r-7-8-high-waist-airlift-legging-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092869783911_20260302.png,
www.aloyoga.com,1004856,9092872700263,Airlift Intrigue Bra - Plum Kiss,78,78,78,78,0,920,1016,824,71760,79209,64311,32.857143,0.523918,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w9557r-airlift-intrigue-bra-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092872700263_20260228.png,
www.aloyoga.com,1004856,9092873683303,ALO Softsculpt Precision Bra - Plum Kiss,78,78,78,78,0,818,911,725,63804,71011.2,56596.8,29.214286,0.391762,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w9858r-alo-softsculpt-precision-bra-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092873683303_20260303.png,
www.aloyoga.com,1004856,9092868440423,ALO Softsculpt High-Waist Legging - Plum Kiss,134,134,134,134,0,442,499,385,59228,66758.8,51697.2,15.785714,0.797834,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w54234r-alo-softsculpt-high-waist-legging-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092868440423_20260228.png,
www.aloyoga.com,1004856,9092865360231,Sweater Knit Unwind Long Sleeve - Plum Kiss,138,138,138,138,0,404,463,345,55752,63894,47610,14.428571,0.703833,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w31030r-sweater-knit-unwind-long-sleeve-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092865360231_20260228.png,
www.aloyoga.com,1004856,9092866507111,Sway Full Zip Hoodie - Plum Kiss,128,128,128,128,0,338,385,291,43264,49164.8,37363.2,12.071429,0.769932,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w3980r-sway-full-zip-hoodie-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092866507111_20260227.png,
www.aloyoga.com,1004856,9092871324007,Sway My Way Micro Short - Plum Kiss,68,68,68,68,0,456,527,385,31008,35829.2,26186.8,16.285714,0.269344,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w6562r-sway-my-way-micro-short-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092871324007_20260227.png,
www.aloyoga.com,1004856,9092867752295,Sway Bootcut Sweatpant - Plum Kiss,128,128,128,128,0,156,174,138,19968,22272,17664,5.777778,0.975,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w51304r-sway-bootcut-sweatpant-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092867752295_20260302.png,
www.aloyoga.com,1004856,9092864475495,Alosoft Back For More Tee - Plum Kiss,68,68,68,68,0,280,311,249,19040,21107.2,16972.8,10,0.962199,0,,,Purple,5,5,2026-01-31,https://www.aloyoga.com/products/w1492r-alosoft-back-for-more-tee-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092864475495_20260228.png,
www.aloyoga.com,1004856,9092858478951,Airlift Headband - Plum Kiss,38,38,38,38,0,373,411,335,14174,15591.4,12756.6,13.321429,0.894484,0,,,Purple,1,1,2026-01-31,https://www.aloyoga.com/products/a0054u-airlift-headband-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092858478951_20260228.png,
www.aloyoga.com,1004856,9092892033383,Accolade Crew Neck Pullover - Plum Kiss,138,138,138,138,0,94,106,82,12972,14517.6,11426.4,3.481481,0.87037,0,,,Purple,7,7,2026-01-31,https://www.aloyoga.com/products/u3031rg-accolade-crew-neck-pullover-plum-kiss-mens,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092892033383_20260303.png,
www.aloyoga.com,1004856,9092865556839,Silk Luminous Cropped Button Down Long Sleeve - Plum Kiss,268,268,268,268,0,40,44,36,10720,11792,9648,1.481481,0.085837,0,,,Purple,5,5,2026-02-07,https://www.aloyoga.com/products/w31041p-silk-luminous-cropped-button-down-long-sleeve-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092865556839_20260303.png,
www.aloyoga.com,1004856,9092874699111,Silk Luminous Bra - Plum Kiss,148,148,148,148,0,43,50,36,6364,7266.8,5461.2,1.653846,0.117166,0,,,Purple,5,5,2026-02-07,https://www.aloyoga.com/products/w9948p-silk-luminous-bra-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092874699111_20260227.png,
www.aloyoga.com,1004856,9092871684455,Silk Luminous Short - Plum Kiss,188,188,188,188,0,33,37,29,6204,6824.4,5583.6,1.32,0.061567,0,,,Purple,5,5,2026-02-07,https://www.aloyoga.com/products/w6579p-silk-luminous-short-plum-kiss,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092871684455_20260227.png,
www.aloyoga.com,1004856,9092814143847,Seamless High-Waist Two Tone Rib Legging - Winter Frost Heather,128,128,128,128,0,41,47,35,5248,5964.8,4531.2,1.64,0.022892,0,,,Purple,1,5,2025-11-02,https://www.aloyoga.com/products/w54268r-seamless-high-waist-two-tone-rib-legging-winter-frost-heather,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092814143847_20260228.png,
www.aloyoga.com,1004856,9092855103847,ALO Intention Crystal - Amethyst,275,275,275,275,0,17,19,15,4675,5142.5,4207.5,0.68,0.261538,0,,,Purple,1,1,2026-01-31,https://www.aloyoga.com/products/a1099u-alo-intention-crystal-amethyst,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092855103847_20260228.png,
www.aloyoga.com,1004856,7900127887540,Make Waves Sweatpant - Italian Plum Tonal,148,148,148,148,0,8,9,7,1184,1302.4,1065.6,0.347826,0.16,0,,Cozy fit | Fashionable design | Comfy material | Baggy style | High quality,Purple,7,7,2024-12-14,https://www.aloyoga.com/products/u5018r-make-waves-sweatpant-italian-plum-tonal,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7900127887540_20260228.png,
www.aloyoga.com,1004856,7486527733940,Mesh High-Waist Flicker Pant - Soft Mulberry,70,70,70,118,0.4068,0,0,0,0,0,0,0,,0,,,Purple,5,5,2024-01-26,https://www.aloyoga.com/products/w51362r-mesh-high-waist-flicker-pant-soft-mulberry,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7486527733940_20260302.png,
www.aloyoga.com,1004856,7256646713524,Airbrush High-Waist Enso Legging - Dark Plum,70,70,70,118,0.4068,0,0,0,0,0,0,0,,0,,Comfortable and well made | Perfect fit | Not flattering | Awesome color | Great quality,Purple,5,5,2022-12-13,https://www.aloyoga.com/products/w51199r-airbrush-high-waist-enso-legging-dark-plum,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7256646713524_20260226.png,
www.aloyoga.com,1004856,7486531829940,Standout Cropped Tank - Soft Mulberry,38,38,38,64,0.4063,0,0,0,0,0,0,0,,0,,Comfortable Fit | Soft Fabric | Stylish Design | Ill Fitting | Versatile Top,Purple,4,4,2024-01-26,https://www.aloyoga.com/products/w2750r-standout-cropped-tank-soft-mulberry,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7486531829940_20260227.png,
www.aloyoga.com,1004856,7486524063924,Airbrush Real Dress - Soft Mulberry,76,76,76,128,0.4063,0,0,0,0,0,0,0,,0,,Perfect fit and comfortable | Cute and flattering | Love it! Very versatile | Comfortable and easy to wear | Too tight and thick,Purple,5,5,2024-01-26,https://www.aloyoga.com/products/w8190r-airbrush-real-dress-soft-mulberry,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7486524063924_20260303.png,
www.aloyoga.com,1004856,9092858642791,90's Claw Clip - Plum Kiss Clear,38,38,38,38,0,0,0,0,0,0,0,0,,0,,,Purple,1,1,2026-01-31,https://www.aloyoga.com/products/a0286w-90s-claw-clip-plum-kiss-clear,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092858642791_20260227.png,
www.aloyoga.com,1004856,7256649203892,High-Waist Airbrush Legging - Dark Plum,70,70,70,118,0.4068,0,0,0,0,0,0,0,,0,,Sliding Waist | Best Quality | Overpriced Material | Bit Small | Stunning Color,Purple,5,5,2022-12-13,https://www.aloyoga.com/products/w5473r-high-waist-airbrush-legging-dark-plum,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7256649203892_20260227.png,
