1 filter(s) applied: Color is exactly Red,
company_domain,company_id,product_id,product_title,min_current_price,max_current_price,avg_current_price,avg_full_price,avg_discount,sales_volume,sales_volume_upper_bound,sales_volume_lower_bound,sales_revenue,sales_revenue_upper_bound,sales_revenue_lower_bound,rate_sold,sell_through_rate,review_count,avg_rating,key_phrases,colors,matched_variant_count,total_variant_count,product_first_seen,product_url,image_url,
www.aloyoga.com,1004856,9092820566375,Cropped Accolade Crewneck - Bright Red,128,128,128,128,0,1339,1542,1136,171392,197286.4,145497.6,47.821429,0.168661,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w3924rg-cropped-accolade-crewneck-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092820566375_20260115.png,
www.aloyoga.com,1004856,9092811358567,7/8 High-Waist Airlift Legging - Bright Red,134,134,134,134,0,1012,1175,849,135608,157450,113766,36.142857,0.110396,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w5766r-7-8-high-waist-airlift-legging-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092811358567_20260228.png,
www.aloyoga.com,1004856,9092872044903,Airbrush Splendor Dress - Bright Red,138,138,138,138,0,783,870,696,108054,119935.8,96172.2,27.964286,0.259186,0,,,Red,5,5,2026-01-31,https://www.aloyoga.com/products/w8346r-airbrush-splendor-dress-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092872044903_20260303.png,
www.aloyoga.com,1004856,9092811391335,Airlift Intrigue Bra - Bright Red,78,78,78,78,0,857,984,730,66846,76752,56940,30.607143,0.072284,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w9557r-airlift-intrigue-bra-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092811391335_20260227.png,
www.aloyoga.com,1004856,9092812833127,Accolade Short - Bright Red,78,78,78,78,0,762,864,660,59436,67345.2,51526.8,27.214286,0.178873,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w6472rg-accolade-short-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092812833127_20260303.png,
www.aloyoga.com,1004856,9092866867559,Alosoft Sincere Fitted Jacket - Bright Red,128,128,128,128,0,425,471,379,54400,60224,48576,15.740741,0.027792,0,,,Red,5,5,2026-01-31,https://www.aloyoga.com/products/w4736r-alosoft-sincere-fitted-jacket-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092866867559_20260228.png,
www.aloyoga.com,1004856,9092822663527,Aspire Tank - Bright Red/White,68,68,68,68,0,688,770,606,46784,52319.2,41248.8,24.571429,0.170297,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w2675rg-aspire-tank-bright-red-white,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092822663527_20260228.png,
www.aloyoga.com,1004856,9092818731367,Cropped Atmosphere Puffer - Bright Red,228,228,228,228,0,198,229,167,45144,52052.4,38235.6,7.615385,0.061149,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w4739r-cropped-atmosphere-puffer-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092818731367_20260228.png,
www.aloyoga.com,1004856,9092868342119,Airlift High Waist Charger 7/8 Legging - Bright Red/White,138,138,138,138,0,323,368,278,44574,50728.8,38419.2,11.962963,0.055167,0,,,Red,5,5,2026-02-05,https://www.aloyoga.com/products/w54220r-airlift-high-waist-charger-7-8-legging-bright-red-white,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092868342119_20260302.png,
www.aloyoga.com,1004856,9092773708135,Hazy Mock Neck Pullover - Burgundy,138,138,138,138,0,308,341,275,42504,46961.4,38046.6,11,0.60274,0,,,Red,5,5,2025-09-13,https://www.aloyoga.com/products/w3845r-hazy-mock-neck-pullover-burgundy,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092773708135_20260227.png,
www.aloyoga.com,1004856,9092783571303,ALO Runner - Burgundy,195,195,195,195,0,207,233,181,40365,45337.5,35392.5,7.961538,0.575,0,,,Red,27,27,2025-09-13,https://www.aloyoga.com/products/a0590u-alo-runner-burgundy,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092783571303_20260302.png,
www.aloyoga.com,1004856,9092871094631,Alosoft Sincere Micro Short - Bright Red,64,64,64,64,0,568,643,493,36352,41132.8,31571.2,20.285714,0.052936,0,,,Red,5,5,2026-01-31,https://www.aloyoga.com/products/w6548r-alosoft-sincere-micro-short-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092871094631_20260228.png,
www.aloyoga.com,1004856,9092829282663,ALO Sunset Sneaker - Candy Heart Red,225,225,225,225,0,161,181,141,36225,40590,31860,5.962963,0.113221,0,,,Red,3,12,2026-01-17,https://www.aloyoga.com/products/a0891u-alo-sunset-sneaker-candy-heart-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092829282663_20260302.png,
www.aloyoga.com,1004856,9092813029735,Airbrush Heart Throb Bra - Bright Red/White,88,88,88,88,0,402,487,317,35376,42820.8,27931.2,14.357143,0.161576,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w9680r-airbrush-heart-throb-bra-bright-red-white,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092813029735_20260228.png,
www.aloyoga.com,1004856,9092813095271,5" Airlift Energy Short - Bright Red,88,88,88,88,0,400,460,340,35200,40418.4,29981.6,14.285714,0.051666,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w6295r-5-airlift-energy-short-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092813095271_20260228.png,
www.aloyoga.com,1004856,9092873617767,Airlift Super Sleek Bra Tank - Bright Red,88,88,88,88,0,384,437,331,33792,38385.6,29198.4,13.714286,0.081459,0,,,Red,5,5,2026-01-31,https://www.aloyoga.com/products/w9856r-airlift-super-sleek-bra-tank-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092873617767_20260303.png,
www.aloyoga.com,1004856,9092873781607,Alosoft Sincere Bra - Bright Red,68,68,68,68,0,493,549,437,33524,37311.6,29736.4,17.607143,0.067963,0,,,Red,5,5,2026-01-31,https://www.aloyoga.com/products/w9884r-alosoft-sincere-bra-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092873781607_20260227.png,
www.aloyoga.com,1004856,9092870537575,Accolade Skirt - Bright Red,78,78,78,78,0,425,468,382,33150,36465,29835,15.178571,0.156078,0,,,Red,5,5,2026-01-31,https://www.aloyoga.com/products/w6461rg-accolade-skirt-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092870537575_20260227.png,
www.aloyoga.com,1004856,9092873322855,Airlift Alignment Bra - Bright Red/White,88,88,88,88,0,347,400,294,30536,35164.8,25907.2,12.392857,0.076415,0,,,Red,4,5,2026-01-31,https://www.aloyoga.com/products/w9824r-airlift-alignment-bra-bright-red-white,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092873322855_20260303.png,
www.aloyoga.com,1004856,9092741693799,Cropped Accolade Crewneck - Candy Red,128,128,128,128,0,234,261,207,29952,33331.2,26572.8,8.666667,0.89313,0,,,Red,5,5,2025-05-02,https://www.aloyoga.com/products/w3924rg-cropped-accolade-crewneck-candy-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092741693799_20260228.png,
www.aloyoga.com,1004856,9092868178279,Airlift High-Waist Sleek Legging - Bright Red,138,138,138,138,0,212,241,183,29256,33175.2,25336.8,7.571429,0.060279,0,,,Red,5,5,2026-01-31,https://www.aloyoga.com/products/w54184r-airlift-high-waist-sleek-legging-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092868178279_20260228.png,
www.aloyoga.com,1004856,9092807852391,ALO Voyage Duffle - Bordeaux Leather,3600,3600,3600,3600,0,8,9,7,28800,31680,25920,0.363636,0.266667,0,,,Red,1,1,2025-12-05,https://www.aloyoga.com/products/a1049u-alo-voyage-duffle-bordeaux,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092807852391_20260227.png,
www.aloyoga.com,1004856,9092827480423,Unisex Half-Crew Throwback Sock - White/Bright Red,34,34,34,34,0,836,970,702,28424,32959.6,23888.4,29.857143,0.107042,0,,,Red,3,3,2025-12-04,https://www.aloyoga.com/products/a0480u-unisex-half-crew-throwback-sock-white-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092827480423_20260227.png,
www.aloyoga.com,1004856,9092807065959,Accolade Straight Leg Sweatpant - Burgundy,138,138,138,138,0,197,217,177,27186,29904.6,24467.4,8.208333,0.794355,0,,,Red,7,7,2025-09-13,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-sweatpant-burgundy-mens,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092807065959_20260228.png,
www.aloyoga.com,1004856,9092821221735,Alosoft Crop Finesse Long Sleeve - Bright Red,78,78,78,78,0,340,384,296,26520,29920.8,23119.2,12.142857,0.037098,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w3601r-alosoft-crop-finesse-long-sleeve-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092821221735_20260228.png,
www.aloyoga.com,1004856,9092814930279,Airlift Winter Warm High-Waist Legging - Bright Red,144,144,144,144,0,182,202,162,26208,29044.8,23371.2,7,0.110303,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w51220r-airlift-winter-warm-high-waist-legging-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092814930279_20260228.png,
www.aloyoga.com,1004856,9092807950695,ALO Tranquility Tote - Bordeaux Suede,2300,2300,2300,2300,0,11,13,9,25300,27830,22770,0.5,0.261905,0,,,Red,1,1,2025-12-05,https://www.aloyoga.com/products/a1050u-alo-tranquility-tote-bordeaux,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092807950695_20260227.png,
www.aloyoga.com,1004856,9092821123431,Airlift Winter Warm 1/4 Zip Long Sleeve - Bright Red,128,128,128,128,0,180,202,158,23040,25804.8,20275.2,6.666667,0.184805,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w3788r-airlift-winter-warm-1-4-zip-long-sleeve-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092821123431_20260218.png,
www.aloyoga.com,1004856,9092828332391,Women's Pivot Barre Sock - Bright Red,38,38,38,38,0,605,712,498,22990,27033.2,18946.8,21.607143,0.060205,0,,,Red,2,2,2025-12-04,https://www.aloyoga.com/products/a0094w-womens-pivot-barre-sock-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092828332391_20260303.png,
www.aloyoga.com,1004856,9092813816167,Airlift High-Waist Ignite 7/8 Legging - Bright Red,138,138,138,138,0,156,178,134,21528,24508.8,18547.2,5.777778,0.087591,0,,,Red,5,5,2025-12-11,https://www.aloyoga.com/products/w54281r-airlift-high-waist-ignite-7-8-legging-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092813816167_20260228.png,
www.aloyoga.com,1004856,9092741267815,Tennis Club Sweater Knit Cardigan - Candy Red/White,178,178,178,178,0,120,132,108,21360,23496,19224,4.444444,0.779221,0,,,Red,5,5,2025-05-02,https://www.aloyoga.com/products/w3847r-tennis-club-sweater-knit-cardigan-candy-red-white,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092741267815_20260214.png,
www.aloyoga.com,1004856,9092816240999,Airbrush High-Waist 7/8 Heart Throb Legging - Bright Red/White,134,134,134,134,0,152,169,135,20368,22565.6,18170.4,5.428571,,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w54341r-airbrush-high-waist-7-8-heart-throb-legging-bright-red-white,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092816240999_20260302.png,
www.aloyoga.com,1004856,9092818993511,Airlift Ignite Zip Up Jacket - Bright Red,148,148,148,148,0,136,150,122,20128,22140.8,18115.2,5.037037,0.030102,0,,,Red,5,5,2025-12-11,https://www.aloyoga.com/products/w4726r-airlift-ignite-zip-up-jacket-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092818993511_20260303.png,
www.aloyoga.com,1004856,9092820074855,Denim Knit Backless Long Sleeve - Bright Red,198,198,198,198,0,98,109,87,19404,21522.6,17285.4,3.92,0.053435,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w3983r-denim-knit-backless-long-sleeve-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092820074855_20260227.png,
www.aloyoga.com,1004856,9092820992359,Snuggle Up Sweater Cropped Cardigan - Bright Red,168,168,168,168,0,112,126,98,18816,21151.2,16480.8,4.148148,0.127128,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w3850r-snuggle-up-sweater-cropped-cardigan-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092820992359_20260228.png,
www.aloyoga.com,1004856,9092778918247,High-Waist Airlift Legging - Burgundy,134,134,134,134,0,139,153,125,18626,20488.6,16763.4,5.148148,0.298925,0,,,Red,5,5,2025-09-13,https://www.aloyoga.com/products/w5561r-high-waist-airlift-legging-burgundy,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092778918247_20260226.png,
www.aloyoga.com,1004856,9092823023975,Alosoft Back For More Tee - Bright Red,68,68,68,68,0,261,288,234,17748,19522.8,15973.2,9.321429,0.129722,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w1492r-alosoft-back-for-more-tee-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092823023975_20260227.png,
www.aloyoga.com,1004856,9092809654631,Airlift Ignite Bra - Bright Red,88,88,88,88,0,193,218,168,16984,19157.6,14810.4,6.892857,0.106571,0,,,Red,5,5,2025-12-11,https://www.aloyoga.com/products/w9898r-airlift-ignite-bra-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092809654631_20260228.png,
www.aloyoga.com,1004856,9092776755559,Airlift High-Waist 7/8 Line Up Legging - Burgundy,144,144,144,144,0,114,128,100,16416,18403.2,14428.8,5.181818,,0,,,Red,5,5,2025-09-13,https://www.aloyoga.com/products/w51154r-airlift-high-waist-7-8-line-up-legging-burgundy,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092776755559_20251104.png,
www.aloyoga.com,1004856,9092826530151,Airlift Solar Visor - Bright Red,78,78,78,78,0,205,228,182,15990,17768.4,14211.6,7.321429,0.052672,0,,,Red,1,1,2025-12-04,https://www.aloyoga.com/products/a0684u-airlift-solar-visor-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092826530151_20260207.png,
www.aloyoga.com,1004856,9092771348839,Scholar Hooded Sweater - Burgundy,218,218,218,218,0,65,72,58,14170,15587,12753,2.321429,0.163317,0,,,Red,7,7,2025-10-02,https://www.aloyoga.com/products/u3026r-scholar-hooded-sweater-burgundy,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092771348839_20260302.png,
www.aloyoga.com,1004856,9092815159655,Alosoft High-Waist Iconic 90's Capri - Bright Red,98,98,98,98,0,143,159,127,14014,15533,12495,5.107143,0.327982,0,,,Red,5,5,2025-12-04,https://www.aloyoga.com/products/w51024r-alosoft-high-waist-iconic-90s-capri-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092815159655_20260227.png,
www.aloyoga.com,1004856,9092869128551,Sweater Knit Mid-Rise Unwind Wide Leg Pant - Bright Red,188,188,188,188,0,74,88,60,13912,16544,11280,2.846154,0.044048,0,,,Red,5,5,2026-01-31,https://www.aloyoga.com/products/w54319r-sweater-knit-mid-rise-unwind-wide-leg-pant-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092869128551_20260227.png,
www.aloyoga.com,1004856,9092828561767,Airlift Headband - Bright Red,38,38,38,38,0,349,401,297,13262,15215.2,11308.8,12.464286,0.188751,0,,,Red,1,1,2025-12-04,https://www.aloyoga.com/products/a0054u-airlift-headband-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092828561767_20260228.png,
www.aloyoga.com,1004856,9092772266343,Alosoft Crop Finesse Short Sleeve - Burgundy,68,68,68,68,0,185,206,164,12580,13960.4,11199.6,6.607143,0.193515,0,,,Red,5,5,2025-09-13,https://www.aloyoga.com/products/w1406r-alosoft-crop-finesse-short-sleeve-burgundy,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092772266343_20260227.png,
www.aloyoga.com,1004856,9092744348007,7/8 High-Waist Airlift Legging - Candy Red,134,134,134,134,0,84,93,75,11256,12381.6,10130.4,3.230769,0.313433,0,,,Red,5,5,2025-05-02,https://www.aloyoga.com/products/w5766r-7-8-high-waist-airlift-legging-candy-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092744348007_20260227.png,
www.aloyoga.com,1004856,9092782031207,Airlift Line Up Bra - Burgundy,98,98,98,98,0,108,123,93,10584,11995.2,9172.8,4.153846,0.166667,0,,,Red,5,5,2025-09-13,https://www.aloyoga.com/products/w9533r-airlift-line-up-bra-burgundy,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092782031207_20260214.png,
www.aloyoga.com,1004856,9092861133159,Airmesh Venus Thong - Bright Red,34,34,34,34,0,308,366,250,10472,12437.2,8506.8,11,0.141414,0,,,Red,5,5,2026-01-31,https://www.aloyoga.com/products/a0285w-airmesh-venus-thong-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092861133159_20260227.png,
www.aloyoga.com,1004856,9092865327463,Sweater Knit Unwind Long Sleeve - Bright Red,138,138,138,138,0,75,85,65,10350,11716.2,8983.8,2.884615,0.055351,0,,,Red,5,5,2026-01-31,https://www.aloyoga.com/products/w31030r-sweater-knit-unwind-long-sleeve-bright-red,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092865327463_20260227.png,
www.aloyoga.com,1004856,9092782457191,Airbrush Real Bra Tank - Burgundy,78,78,78,78,0,131,145,117,10218,11239.8,9196.2,4.851852,0.168164,0,,,Red,5,5,2025-09-13,https://www.aloyoga.com/products/w9587r-real-bra-tank-burgundy,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092782457191_20260302.png,
